,Address,Name Tag,Balance,Txn Count
0,0x06adaff9c864eb59ade310bc21150a8f4d5d4ab4,0x: WBTC Merchant Deposit Address,0.1994372 ETH,2
1,0xfaf0708d1aed2566205d61f471d7e4aeb10910ea,AirSwap: WBTC Merchant Deposit Address,0.22029881 ETH,88
2,0xa726c00cda1f60aaab19bc095d02a46556837f31,Alameda Research: WBTC Merchant Deposit Address,0.01413989 ETH,409
3,0xe1f3c653248de6894d683cb2f10de7ca2253046f,Bitfinex: Deployer 3,0.17336492 ETH,1890
4,0x0967aea99754974a4cc4dbf29009155a49588171,CoinList: WBTC Merchant Deposit Address,0.65165066 ETH,420
5,0x3854dd5e2657d18e686707c2b652928f6f6aaa51,DDEX: WBTC Merchant Deposit Address,0.16937558 ETH,44
6,0xf7c630ee2dfebe834a0473d4d98ddad2c514a392,Dharma: WBTC Merchant Deposit Address,0.20517671 ETH,14
7,0xacf9e2469fbc57e6ad391f97a41f8aad4d68b097,Eidoo: WBTC Merchant Deposit Address,0 ETH,11
8,0xb43d7a63391bc768d5981b0d91152eb76dee9a6a,FalconX: WBTC Merchant Deposit Address,0.00003406 ETH,52
9,0xe3031c1bfaa7825813c562cbdcc69d96fcad2087,Gopax: WBTC Merchant Deposit Address,"2,034.78003913 ETH",527274
10,0xd5c01b2f8ab1e00b84fae74a354f57448f68d882,Grapefruit Trading: WBTC Merchant Deposit Address,0 ETH,382
11,0xfdf28bf25779ed4ca74e958d54653260af604c20,Kyber: WBTC Merchant Deposit Address,49.74050532 ETH,1355
12,0x8e63bb7af326de3fc6e09f4c8d54a75c6e236aba,Loopring: WBTC Merchant Deposit Address,0 ETH,6
13,0x658545e34e392fe07177e1794504838b49ed261d,Maker: WBTC Merchant Deposit Address,0.01022476 ETH,27
14,0xda520bdab7b196446099413f27d0fa77f72d9799,Native Gaming: WBTC Merchant Deposit Address,0.73466217 ETH,245
15,0x65b0bf8ee4947edd2a500d74e50a3d757dc79de0,Nexo: WBTC Merchant Deposit Address,183.80468197 ETH,1977
16,0xbec897d7e4969c59993bfe9ad7b4c571a29aa381,Prycto: WBTC Merchant Deposit Address,0 ETH,27
17,0x572f17ecfff768f9c31881f66bd97b18a651fc20,QCP Capital: WBTC Merchant Deposit Address,0 ETH,23
18,0xc038c8850f73c4a8453dbf7c59447b397978d7ea,Ren: WBTC Merchant Deposit Address,0.09510462 ETH,7
19,0x03dc1ccc9559fb309b56275be427ebcff0d1766f,Swipe: WBTC Merchant Deposit Address,5.60809432 ETH,17
20,0xa2b1a32cc725d32936e0e81f79f0d41c44cc5cfa,Three Arrows Capital: WBTC Merchant Deposit,0.46390793 ETH,69
