,Address,Name Tag,Balance,Txn Count
0,0x69c6dcc8f83b196605fa1076897af0e7e2b6b044,Bitfinex 1,9.9617374 ETH,391319
1,0x8d5a41e85f4ce2433beef476305d307b9205d98d,Bitfinex 10,"177,328.30766824 ETH",27
2,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex 11,"95,263.26323519 ETH",1
3,0x7727e5113d1d161373623e5f49fd568b4f543a9e,Bitfinex 12,"34,740.37540505 ETH",1
4,0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Bitfinex 13,0.26199736 ETH,2
5,0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex 19,"450,118.32638218 ETH",92
6,0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Bitfinex 2,"137,798.86646867 ETH",18417
7,0x4922a015c4407f87432b179bb209e125432e4a2a,Bitfinex 20,"275,000.02811646 ETH",38
8,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 3,3.7641484 ETH,2277363
9,0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,Bitfinex 4,0.09011851 ETH,11
10,0x2903cadbe271e057edef157340b52a5898d7424f,Bitfinex 5,"100,116.88988392 ETH",25
11,0xdac17f958d2ee523a2206206994597c13d831ec7,Bitfinex 6,1.37340398 ETH,13
12,0xe1f3c653248de6894d683cb2f10de7ca2253046f,Bitfinex 7,2.10290367 ETH,4
13,0xed03ed872159e199065401b6d0d487d78d9464aa,Bitfinex 8,"23,594.74684404 ETH",11
14,0x14d06788090769f669427b6aea1c0240d2321f34,Bitfinex 9,0.0003728 ETH,33
15,0x7180eb39a6264938fdb3effd7341c4727c382153,Bitfinex: Contract 1,0 ETH,513181
16,0x6e109e9dd7fa1a58bc3eff667e8e41fc3cc07aef,Bitfinex: Contract 2,0 ETH,496
17,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,Bitfinex: Deployer 1,11.08707483 ETH,4
18,0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex: Deployer 2,0.986238 ETH,7
19,0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,Bitfinex: Deployer 3,0.17336492 ETH,1890
20,0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,Bitfinex: Deployer 4,1.75231945 ETH,60
21,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex: Deployer 5,0.00724325 ETH,144
22,0x36928500bc1dcd7af6a2b4008875cc336b927d57,Bitfinex: Deployer 6,0.00000218 ETH,633
23,0xcafb10ee663f465f9d10588ac44ed20ed608c11e,Bitfinex: Hot Wallet,"63,497.70912679 ETH",138457
24,0x3f7e77b627676763997344a1ad71acb765fc8ac5,Bitfinex: LEO Token,0 ETH,47906
25,0x5754284f345afc66a98fbb0a0afe71e0f007b949,Bitfinex: MultiSig 1,0.01470426 ETH,530
26,0xc581b735a1688071a1746c968e0798d642ede491,Bitfinex: MultiSig 2,0.14412363 ETH,6499
27,0x0e55c54249f25f70d519b7fb1c20e3331e7ba76d,Bitfinex: MultiSig 3,"308,033.76046368 ETH",119
28,0x8103683202aa8da10536036edef04cdd865c225e,Bitfinex: Old Address 1,0.09138507 ETH,8169
29,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex: Old Address 2,0.0035395 ETH,38271
30,0x68749665ff8d2d112fa859aa293f07a622782f38,Bitfinex: Old Contract 1,0 ETH,13
31,0x2ee3b2df6534abc759ffe994f7b8dcdfaa02cd31,Bitfinex: Old Contract 2,0 ETH,737
32,0xabdf147870235fcfc34153828c769a70b3fae01f,Euro Tether: EURT Token,0 ETH,10428
33,0x482f02e8bc15b5eabc52c6497b425b3ca3c821e8,EURT:undefined,0 ETH,134
34,0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Tether Gold: Old XAUt Token,0 ETH,4794
35,0x36a85757645e8e8aec062a1dee289c7d615901ca,Tether Gold: XAUt Token,0 ETH,5581
36,0xe92d1a43df510f82c66382592a047d288f85226f,Tether: CNHT Token,0 ETH,760
37,0x5dbdebcae07cc958ba5290ff9deaae554e29e7b4,Tether: MXNt Token,0 ETH,14
38,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Tether: Treasury,0.50939926 ETH,3830
39,0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,Tether: USDT Stablecoin,1 wei,165726775
