,Address,Name Tag,Balance,Txn Count
0,0x823be81bbf96bec0e25ca13170f5aacb5b79ba83,Synthetix: Address Resolver,0 ETH,87
1,0xa6b5e74466edc95d0b6e65c5cbfca0a676d893a4,Synthetix: ArbRewarder,0 ETH,220
2,0xe523184876c97945da45998582526cdb6a3da260,Synthetix: Binary Option Market Data,0 ETH,1
3,0x211ba925b35b82246a3ccfa3a991a39a840f025c,Synthetix: Binary Option Market Factory,0 ETH,2
4,0x915d1c9df12142b535f6a7437f0196d80bccc1bd,Synthetix: Binary Option Market Manager,0 ETH,33
5,0xaa03ab31b55dceeef845c8d17890cc61cd98ed04,Synthetix: Collateral Erc20,0 ETH,224
6,0x5c8344bcdc38f1ab5eb5c1d4a35ddeea522b5dfa,Synthetix: Collateral Eth,"3,480.26260523 ETH",1674
7,0x067e398605e84f2d0aeec1806e62768c5110dcc6,Synthetix: Collateral Manager,0 ETH,5
8,0x573e5105c4b92416d1544a188f1bf77d442bb52d,Synthetix: Collateral Manager State,0 ETH,4
9,0x1f2c3a1046c32729862fcb038369696e3273a516,Synthetix: Collateral Short,0 ETH,2385
10,0x8a1a00df7aa0102497c7591912ba8301e8db8cdb,Synthetix: Collateral State Erc20,0 ETH,3
11,0xbe5b5a7c198bc156474ed5c33cbf2f3f604f8ff8,Synthetix: Collateral State ETH,0 ETH,3
12,0x13a114a3fa8a6ce03a0c5488be9e614d78eddb0c,Synthetix: Collateral State Short,0 ETH,3
13,0xab0b2f1cf979cdbf4676251f35353ec5af2732dd,Synthetix: Dapp Maintenance,0 ETH,20
14,0x12c815b0c404d66dd0491f4ec62839904cec25e7,Synthetix: Debt Cache,0 ETH,568
15,0xe92b4c7428152052b0930c81f4c687a5f1a12292,Synthetix: Debt Cache 2,0 ETH,756
16,0x15fd6e554874b9e70f832ed37f231ac5e142362f,Synthetix: Delegate Approvals,0 ETH,2376
17,0x8f586f063ffbb89b186c8e604fc6614766f9c9d1,Synthetix: Delegate Approvals Eternal Storage,0 ETH,3
18,0xe1f64079ada6ef07b03982ca34f1dd7152aa3b86,Synthetix: Depot,630 wei,941
19,0x3b399e00afd8201acf8a5a0eccf1c47d8d5e41da,Synthetix: Escrow Checker,0 ETH,1
20,0x0f7c200c4d3b5570c777764884ce6de67f31d3ba,Synthetix: Eternal Storage Liquidations,0 ETH,2
21,0x7133aff303539b0a4f60ab9bd9656598bf49e272,Synthetix: Ether Collateral,0 ETH,249
22,0xfed77055b40d63dcf17ab250ffd6948fbff57b82,Synthetix: EtherCollateral sUSD Trial,13 wei,891
23,0xd69b189020ef614796578afe4d10378c5e7e1138,Synthetix: Exchange Rates,0 ETH,285
24,0x545973f28950f50fc6c7f52aab4ad214a27c0564,Synthetix: Exchange State,0 ETH,4
25,0x0bfdc04b38251394542586969e2356d0d731f7de,Synthetix: Exchanger,0 ETH,2549
26,0xfeefeefeefeefeefeefeefeefeefeefeefeefeef,Synthetix: Fee Address,0 ETH,0
27,0x778d2d3e3515e42573eb1e6a8d8915d4a22d9d54,Synthetix: Fee Pool,0 ETH,178
28,0x510adfdf6e7554c571b7cd9305ce91473610015e,Synthetix: Fee Pool 2,0 ETH,6
29,0xc9dfff5fa5605fd94f8b7927b892f2b57391e8bb,Synthetix: Fee Pool Eternal Storage,0 ETH,26
30,0x11164f6a47c3f8472d19b9add516fc780cb7ee02,Synthetix: Fee Pool State,0 ETH,60
31,0xc757acba3c0506218b3022266a9dc7f3612d85f5,Synthetix: Flexible Storage,0 ETH,1
32,0x86626e1bbbd0ce95ed52e0c5e19f371a6640b591,Synthetix: grantsDAO,0 ETH,51
33,0x631e93a0fb06b5ec6d52c0a2d89a3f9672d6ba64,Synthetix: Issuance Eternal Storage,0 ETH,4
34,0x0decf74c966438c3b4578b46dcc64c907141f670,Synthetix: Issuer,0 ETH,5
35,0xad95c918af576c82df740878c3e983cbd175dab6,Synthetix: Liquidations,0 ETH,745
36,0xdcb6a51ea3ca5d3fd898fd6564757c7aaec3ca92,Synthetix: LP Rewards (Curve sUSD),0 ETH,24408
37,0xc746bc860781dc90bbfcd381d6a058dc16357f8d,Synthetix: LP Rewards (iETH),0 ETH,2572
38,0x48d7f315fedcad332f68aafa017c7c158bc54760,Synthetix: LP Rewards (Uniswap sETH),0 ETH,7639
39,0x385e1eb2ff28f4a637da2c9971f8caf5f5b1e77c,Synthetix: Math,0 ETH,1
