,Address,Name Tag,Balance,Txn Count
0,0x6705120db9fb682dec120cdecc8220385d25fc50,Arbitraging Platform,12.86838012 ETH,49210
1,0x02535b41344f2e05836b80be44b0d190e24dd35a,Bitcoin.de,0 ETH,123
2,0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab,CoW Protocol: COW Token,0 ETH,8302
3,0x059550a1ca3c46a2adb803e9e3ea4585a34f004a,Expo,0 ETH,3627
4,0x4631018f63d5e31680fb53c11c9e1b11f1503e6f,LCX 2,0.00030517 ETH,11182
5,0x2957ea6d4f06bc2badfb2958c65fc7d1be5461b1,LCX 3,0.47576967 ETH,13931
6,0xe3c29ce0c36863fd682f1afe464781df6bebaa0a,MCDEX: BTC Perpetual,0 ETH,11
7,0xfa203e643d1fddc5d8b91253ea23b3bd826cae9e,MCDEX: COMP Perpetual,0 ETH,32
8,0x220a9f0dd581cbc58fcfb907de0454cbf3777f76,MCDEX: ETH Perpetual,683.62048187 ETH,3892
9,0xd48c88a18bfa81486862c6d1d172a39f1365e8ac,MCDEX: LEND Perpetual,0 ETH,40
10,0xa04197e5f7971e7aef78cf5ad2bc65aac1a967aa,MCDEX: LINK Perpetual,0 ETH,101
11,0x4cc89906db523af7c3bb240a959be21cb812b434,MCDEX: SNX Perpetual,0 ETH,35
12,0x5b67871c3a857de81a1ca0f9f7945e5670d986dc,Set: Vault,0 ETH,21
