,Address,Name Tag,Balance,Txn Count
0,0x09b1806df13062b5f653beda6998972cabcf7009,MaskEX 1,4.01335988 ETH,1154
1,0x823c8e533657b0004b5ab8553d84502ba2e571f7,MaskEX 10,0.13810531 ETH,186
2,0x833f3b6faa717079fb3a1030f6207c57b1c591bd,MaskEX 11,0.12069647 ETH,165
3,0x9f1bb5349d481065561a84cbd7f84982fd533359,MaskEX 12,0.58804472 ETH,327
4,0xa310b3eeca53b9c115af529faf92bb5ca4b41494,MaskEX 13,0.00019022 ETH,441
5,0xa4e71851a8c8eaefeb20a994159f4a443e46059b,MaskEX 14,0.09967239 ETH,212
6,0xbe921ea3bd0c879a8688b7fabe6b3c8a471df90d,MaskEX 15,2.10128479 ETH,1980
7,0xc3edbb9c181016cef5d76491f835930e9c8c4d2c,MaskEX 16,98.28531702 ETH,1699
8,0xdd9c649edb7ff80c6c9d238344260184a4f94b88,MaskEX 17,0.62652335 ETH,226
9,0xfb65377800a7282cf81baf0f335fbc6f8ff36776,MaskEX 18,0.4859613 ETH,192
10,0x0c78fd926a8fc9cfc682bdc6b411942d9c7edb7a,MaskEX 2,0.1588378 ETH,186
11,0x0feabb61f67e859811aafce83a5ab780f8c53c0a,MaskEX 3,1.72375954 ETH,234
12,0x33fe5557e90a872a065f2acfd973847e33fc4532,MaskEX 4,0.25950726 ETH,175
13,0x6f531cf07f2d659dcfb371b1a7f4c0157a168332,MaskEX 5,8.91357917 ETH,931
14,0x71467da4c0b0db4e889da703e6ff1cd740f1f74a,MaskEX 6,20.25794443 ETH,489
15,0x7ac724cac6e4ddc24c102b1006f41bc8a6a5c1c5,MaskEX 7,0.32230514 ETH,368
16,0x7e0616656934a09373b1e1114de2c20a77513d16,MaskEX 8,2.16274197 ETH,4352
17,0x80b62f0ea7a89bbc4df4c95e2ad363e5c153b80e,MaskEX 9,0.11904027 ETH,248
