,Address,Name Tag,Balance,Txn Count
0,0xe3adaa4fb7c92ab833ee08b3561d9c434aa2a3ee,,0 ETH,325
1,0xb9f747162ab1e95d07361f9048bcdf6edda9eea7,Wormhole: ATLAS Token,0 ETH,11
2,0x7b4b0b9b024109d182dcf3831222fbda81369423,Wormhole: BUSD Token,0 ETH,247
3,0xbd31ea8212119f94a611fa969881cba3ea06fa3d,Wormhole: LUNA Token,0 ETH,21224
4,0x756bfb452cfe36a5bc82e4f5f4261a89a18c242b,Wormhole: mSOL Token,0 ETH,2
5,0xe617dd80c621a5072bd8cba65e9d76c07327004d,Wormhole: RAY Token,0 ETH,7
6,0xd31a59c85ae9d8edefec411d448f90841571b89c,Wormhole: SOL Token,0 ETH,11393
7,0x7cd167b101d2808cfd2c45d17b2e7ea9f46b74b6,Wormhole: USDCbs Token,0 ETH,267
8,0x566957ef80f9fd5526cd2bef8be67035c0b81130,Wormhole: USDCpo Token,0 ETH,468
9,0x41f7b8b9b897276b7aae926a9016935280b44e97,Wormhole: USDCso Token,0 ETH,6617
10,0xde60adfddaabaaac3dafa57b26acc91cb63728c4,Wormhole: USDTbs Token,0 ETH,291
11,0x1cdd2eab61112697626f7b4bb0e23da4febf7b7c,Wormhole: USDTso Token,0 ETH,804
12,0xa693b19d2931d498c5b318df961919bb4aee87a5,Wormhole: UST Token,0 ETH,33386
13,0x85f138bfee4ef8e540890cfb48f620571d67eda3,Wormhole: WAVAX Token,0 ETH,539
14,0x418d75f65a02b3d53b2418fb8e1fe493759c7605,Wormhole: WBNB Token,0 ETH,10009
15,0x7c9f4c87d911613fe9ca58b579f737911aad2d43,Wormhole: WMATIC Token,0 ETH,915
16,0x26b80fbfc01b71495f477d5237071242e0d959d7,Wormhole: wROSE Token,0 ETH,47
17,0x7c8161545717a334f3196e765d9713f8042ef338,Wromhole: Cake Token,0 ETH,0
