,Address,Name Tag,Balance,Txn Count
0,0x0345f8208f90f65a8430a8f77c614a9a4ab7ede0,AdsByWiFi: WADS Airdrop,0 ETH,72
1,0x6631625a68b08e0fdf605c354ff0e710a0176c84,AfroDex: CrowdSend,0 ETH,234
2,0x617c69250f678215f39ab00328ea9d06d77ab778,AfroDex: Genesis,0.06000731 ETH,230
3,0xb5adb233f28c86cef693451b67e1f2d41da97d21,Bitox.io,2.48114994 ETH,24977
4,0x3b7e71a9f15eebb541c82f88ef020ae7040484f1,Bitpie: Batch Sender v2,1.33291778 ETH,7311
5,0x0105a3bb58793a8514de8aa6bfdff33cad219186,BlackFort Wallet: BXF Distribution,0 ETH,1179
6,0xd1917932a7db6af687b523d5db5d7f5c2734763f,Bulksender.app,0 ETH,30507
7,0x7e760ad2a3e901bf034daa53222286524a4fbcf6,CoinMarketFeed: Airdrop & Liquidity,0 ETH,31
8,0xcec8f07014d889442d7cf3b477b8f72f8179ea09,CoinTool: MultiSender,13.419 ETH,8029
9,0x87d6180b65ad76a9443064dcd1596388fcc3ee2a,DAppNode: NODE Airdrop,0 ETH,3220
10,0x639192d54431f8c816368d3fb4107bc168d0e871,dYdX: DYDX Distributor,0 ETH,8
11,0xcf6cc4dddad0924e0b55a394cfb4c442822f6311,Exnce: Airdrop Distributor,0 ETH,190
12,0x51f43d0c05eefdeb70eeaf973e0b8286e494902d,Exsender,0 ETH,66
13,0xb2feda42cebd9ae02b6c20066e69dd11559a09d1,FreelancerChain: Airdrop,0 ETH,0
14,0x04dfdfa471b79cc9e6e8c355e6c71f8ec4916c50,mStable: Rewards Distributor,0 ETH,132
15,0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,Multisender.app,152.20319261 ETH,32254
16,0x9ab62dc4d7de3c9b2399f74de7613bb0b98a02f9,Multisender.app: NFT Old,0 ETH,23
17,0x4c20cdadbcae364edc03e2b90f09eb97d08ce3c8,ShapeShift: FOX Airdrop,0 ETH,2411
18,0x5474b3abf3e58a2b32f329f3633406a0d2941e6f,SuperRare: RARE Airdrop,0 ETH,3597
