,Address,Name Tag,Balance,Txn Count
0,0x0000000000000000000000000000000000002000,BSC: Cross Chain,0 BNB,34338246
1,0x0000000000000000000000000000000000001007,BSC: Governance Hub,0 BNB,6
2,0x0000000000000000000000000000000000001006,BSC: Relayer Hub,"1,200 BNB",231
3,0x0000000000000000000000000000000000001005,BSC: Relayer Incentivize,32.07568083 BNB,52253
4,0x0000000000000000000000000000000000001001,BSC: SlashIndicator,0 BNB,33955
5,0x0000000000000000000000000000000000001002,BSC: System Reward,100.00164467 BNB,1531632
6,0x0000000000000000000000000000000000001003,BSC: Tendermint Light Client,0 BNB,9872743
7,0x0000000000000000000000000000000000001004,BSC: Token Hub,"152,222,825.18917648 BNB",5170717
8,0x0000000000000000000000000000000000001008,BSC: Token Manager,0 BNB,154
9,0x0000000000000000000000000000000000001000,BSC: Validator Set,750.3975817 BNB,26223424
